,c1,c2,c3
aliceblue,#F0F8FF,#F0F8FF,#F0F8FF
antiquewhite,#FAEBD7,#FAEBD7,#FAEBD7
aqua,#00FFFF,#00FFFF,#00FFFF
aquamarine,#7FFFD4,#7FFFD4,#7FFFD4
azure,#F0FFFF,#F0FFFF,#F0FFFF
b,0,0,1
beige,#F5F5DC,#F5F5DC,#F5F5DC
bisque,#FFE4C4,#FFE4C4,#FFE4C4
black,#000000,#000000,#000000
blanchedalmond,#FFEBCD,#FFEBCD,#FFEBCD
blue,#0000FF,#0000FF,#0000FF
blueviolet,#8A2BE2,#8A2BE2,#8A2BE2
brown,#A52A2A,#A52A2A,#A52A2A
burlywood,#DEB887,#DEB887,#DEB887
c,0.0,0.75,0.75
cadetblue,#5F9EA0,#5F9EA0,#5F9EA0
chartreuse,#7FFF00,#7FFF00,#7FFF00
chocolate,#D2691E,#D2691E,#D2691E
coral,#FF7F50,#FF7F50,#FF7F50
cornflowerblue,#6495ED,#6495ED,#6495ED
cornsilk,#FFF8DC,#FFF8DC,#FFF8DC
crimson,#DC143C,#DC143C,#DC143C
cyan,#00FFFF,#00FFFF,#00FFFF
darkblue,#00008B,#00008B,#00008B
darkcyan,#008B8B,#008B8B,#008B8B
darkgoldenrod,#B8860B,#B8860B,#B8860B
darkgray,#A9A9A9,#A9A9A9,#A9A9A9
darkgreen,#006400,#006400,#006400
darkgrey,#A9A9A9,#A9A9A9,#A9A9A9
darkkhaki,#BDB76B,#BDB76B,#BDB76B
darkmagenta,#8B008B,#8B008B,#8B008B
darkolivegreen,#556B2F,#556B2F,#556B2F
darkorange,#FF8C00,#FF8C00,#FF8C00
darkorchid,#9932CC,#9932CC,#9932CC
darkred,#8B0000,#8B0000,#8B0000
darksalmon,#E9967A,#E9967A,#E9967A
darkseagreen,#8FBC8F,#8FBC8F,#8FBC8F
darkslateblue,#483D8B,#483D8B,#483D8B
darkslategray,#2F4F4F,#2F4F4F,#2F4F4F
darkslategrey,#2F4F4F,#2F4F4F,#2F4F4F
darkturquoise,#00CED1,#00CED1,#00CED1
darkviolet,#9400D3,#9400D3,#9400D3
deeppink,#FF1493,#FF1493,#FF1493
deepskyblue,#00BFFF,#00BFFF,#00BFFF
dimgray,#696969,#696969,#696969
dimgrey,#696969,#696969,#696969
dodgerblue,#1E90FF,#1E90FF,#1E90FF
firebrick,#B22222,#B22222,#B22222
floralwhite,#FFFAF0,#FFFAF0,#FFFAF0
forestgreen,#228B22,#228B22,#228B22
fuchsia,#FF00FF,#FF00FF,#FF00FF
g,0.0,0.5,0.0
gainsboro,#DCDCDC,#DCDCDC,#DCDCDC
ghostwhite,#F8F8FF,#F8F8FF,#F8F8FF
gold,#FFD700,#FFD700,#FFD700
goldenrod,#DAA520,#DAA520,#DAA520
gray,#808080,#808080,#808080
green,#008000,#008000,#008000
greenyellow,#ADFF2F,#ADFF2F,#ADFF2F
grey,#808080,#808080,#808080
honeydew,#F0FFF0,#F0FFF0,#F0FFF0
hotpink,#FF69B4,#FF69B4,#FF69B4
indianred,#CD5C5C,#CD5C5C,#CD5C5C
indigo,#4B0082,#4B0082,#4B0082
ivory,#FFFFF0,#FFFFF0,#FFFFF0
k,0,0,0
khaki,#F0E68C,#F0E68C,#F0E68C
lavender,#E6E6FA,#E6E6FA,#E6E6FA
lavenderblush,#FFF0F5,#FFF0F5,#FFF0F5
lawngreen,#7CFC00,#7CFC00,#7CFC00
lemonchiffon,#FFFACD,#FFFACD,#FFFACD
lightblue,#ADD8E6,#ADD8E6,#ADD8E6
lightcoral,#F08080,#F08080,#F08080
lightcyan,#E0FFFF,#E0FFFF,#E0FFFF
lightgoldenrodyellow,#FAFAD2,#FAFAD2,#FAFAD2
lightgray,#D3D3D3,#D3D3D3,#D3D3D3
lightgreen,#90EE90,#90EE90,#90EE90
lightgrey,#D3D3D3,#D3D3D3,#D3D3D3
lightpink,#FFB6C1,#FFB6C1,#FFB6C1
lightsalmon,#FFA07A,#FFA07A,#FFA07A
lightseagreen,#20B2AA,#20B2AA,#20B2AA
lightskyblue,#87CEFA,#87CEFA,#87CEFA
lightslategray,#778899,#778899,#778899
lightslategrey,#778899,#778899,#778899
lightsteelblue,#B0C4DE,#B0C4DE,#B0C4DE
lightyellow,#FFFFE0,#FFFFE0,#FFFFE0
lime,#00FF00,#00FF00,#00FF00
limegreen,#32CD32,#32CD32,#32CD32
linen,#FAF0E6,#FAF0E6,#FAF0E6
m,0.75,0.0,0.75
magenta,#FF00FF,#FF00FF,#FF00FF
maroon,#800000,#800000,#800000
mediumaquamarine,#66CDAA,#66CDAA,#66CDAA
mediumblue,#0000CD,#0000CD,#0000CD
mediumorchid,#BA55D3,#BA55D3,#BA55D3
mediumpurple,#9370DB,#9370DB,#9370DB
mediumseagreen,#3CB371,#3CB371,#3CB371
mediumslateblue,#7B68EE,#7B68EE,#7B68EE
mediumspringgreen,#00FA9A,#00FA9A,#00FA9A
mediumturquoise,#48D1CC,#48D1CC,#48D1CC
mediumvioletred,#C71585,#C71585,#C71585
midnightblue,#191970,#191970,#191970
mintcream,#F5FFFA,#F5FFFA,#F5FFFA
mistyrose,#FFE4E1,#FFE4E1,#FFE4E1
moccasin,#FFE4B5,#FFE4B5,#FFE4B5
navajowhite,#FFDEAD,#FFDEAD,#FFDEAD
navy,#000080,#000080,#000080
oldlace,#FDF5E6,#FDF5E6,#FDF5E6
olive,#808000,#808000,#808000
olivedrab,#6B8E23,#6B8E23,#6B8E23
orange,#FFA500,#FFA500,#FFA500
orangered,#FF4500,#FF4500,#FF4500
orchid,#DA70D6,#DA70D6,#DA70D6
palegoldenrod,#EEE8AA,#EEE8AA,#EEE8AA
palegreen,#98FB98,#98FB98,#98FB98
paleturquoise,#AFEEEE,#AFEEEE,#AFEEEE
palevioletred,#DB7093,#DB7093,#DB7093
papayawhip,#FFEFD5,#FFEFD5,#FFEFD5
peachpuff,#FFDAB9,#FFDAB9,#FFDAB9
peru,#CD853F,#CD853F,#CD853F
pink,#FFC0CB,#FFC0CB,#FFC0CB
plum,#DDA0DD,#DDA0DD,#DDA0DD
powderblue,#B0E0E6,#B0E0E6,#B0E0E6
purple,#800080,#800080,#800080
r,1,0,0
rebeccapurple,#663399,#663399,#663399
red,#FF0000,#FF0000,#FF0000
rosybrown,#BC8F8F,#BC8F8F,#BC8F8F
royalblue,#4169E1,#4169E1,#4169E1
saddlebrown,#8B4513,#8B4513,#8B4513
salmon,#FA8072,#FA8072,#FA8072
sandybrown,#F4A460,#F4A460,#F4A460
seagreen,#2E8B57,#2E8B57,#2E8B57
seashell,#FFF5EE,#FFF5EE,#FFF5EE
sienna,#A0522D,#A0522D,#A0522D
silver,#C0C0C0,#C0C0C0,#C0C0C0
skyblue,#87CEEB,#87CEEB,#87CEEB
slateblue,#6A5ACD,#6A5ACD,#6A5ACD
slategray,#708090,#708090,#708090
slategrey,#708090,#708090,#708090
snow,#FFFAFA,#FFFAFA,#FFFAFA
springgreen,#00FF7F,#00FF7F,#00FF7F
steelblue,#4682B4,#4682B4,#4682B4
tab:blue,#1f77b4,#1f77b4,#1f77b4
tab:brown,#8c564b,#8c564b,#8c564b
tab:cyan,#17becf,#17becf,#17becf
tab:gray,#7f7f7f,#7f7f7f,#7f7f7f
tab:green,#2ca02c,#2ca02c,#2ca02c
tab:grey,#7f7f7f,#7f7f7f,#7f7f7f
tab:olive,#bcbd22,#bcbd22,#bcbd22
tab:orange,#ff7f0e,#ff7f0e,#ff7f0e
tab:pink,#e377c2,#e377c2,#e377c2
tab:purple,#9467bd,#9467bd,#9467bd
tab:red,#d62728,#d62728,#d62728
tan,#D2B48C,#D2B48C,#D2B48C
teal,#008080,#008080,#008080
thistle,#D8BFD8,#D8BFD8,#D8BFD8
tomato,#FF6347,#FF6347,#FF6347
turquoise,#40E0D0,#40E0D0,#40E0D0
violet,#EE82EE,#EE82EE,#EE82EE
w,1,1,1
wheat,#F5DEB3,#F5DEB3,#F5DEB3
white,#FFFFFF,#FFFFFF,#FFFFFF
whitesmoke,#F5F5F5,#F5F5F5,#F5F5F5
xkcd:acid green,#8ffe09,#8ffe09,#8ffe09
xkcd:adobe,#bd6c48,#bd6c48,#bd6c48
xkcd:algae,#54ac68,#54ac68,#54ac68
xkcd:algae green,#21c36f,#21c36f,#21c36f
xkcd:almost black,#070d0d,#070d0d,#070d0d
xkcd:amber,#feb308,#feb308,#feb308
xkcd:amethyst,#9b5fc0,#9b5fc0,#9b5fc0
xkcd:apple,#6ecb3c,#6ecb3c,#6ecb3c
xkcd:apple green,#76cd26,#76cd26,#76cd26
xkcd:apricot,#ffb16d,#ffb16d,#ffb16d
xkcd:aqua,#13eac9,#13eac9,#13eac9
xkcd:aqua blue,#02d8e9,#02d8e9,#02d8e9
xkcd:aqua green,#12e193,#12e193,#12e193
xkcd:aqua marine,#2ee8bb,#2ee8bb,#2ee8bb
xkcd:aquamarine,#04d8b2,#04d8b2,#04d8b2
xkcd:army green,#4b5d16,#4b5d16,#4b5d16
xkcd:asparagus,#77ab56,#77ab56,#77ab56
xkcd:aubergine,#3d0734,#3d0734,#3d0734
xkcd:auburn,#9a3001,#9a3001,#9a3001
xkcd:avocado,#90b134,#90b134,#90b134
xkcd:avocado green,#87a922,#87a922,#87a922
xkcd:azul,#1d5dec,#1d5dec,#1d5dec
xkcd:azure,#069af3,#069af3,#069af3
xkcd:baby blue,#a2cffe,#a2cffe,#a2cffe
xkcd:baby green,#8cff9e,#8cff9e,#8cff9e
xkcd:baby pink,#ffb7ce,#ffb7ce,#ffb7ce
xkcd:baby poo,#ab9004,#ab9004,#ab9004
xkcd:baby poop,#937c00,#937c00,#937c00
xkcd:baby poop green,#8f9805,#8f9805,#8f9805
xkcd:baby puke green,#b6c406,#b6c406,#b6c406
xkcd:baby purple,#ca9bf7,#ca9bf7,#ca9bf7
xkcd:baby shit brown,#ad900d,#ad900d,#ad900d
xkcd:baby shit green,#889717,#889717,#889717
xkcd:banana,#ffff7e,#ffff7e,#ffff7e
xkcd:banana yellow,#fafe4b,#fafe4b,#fafe4b
xkcd:barbie pink,#fe46a5,#fe46a5,#fe46a5
xkcd:barf green,#94ac02,#94ac02,#94ac02
xkcd:barney,#ac1db8,#ac1db8,#ac1db8
xkcd:barney purple,#a00498,#a00498,#a00498
xkcd:battleship gray,#6b7c85,#6b7c85,#6b7c85
xkcd:battleship grey,#6b7c85,#6b7c85,#6b7c85
xkcd:beige,#e6daa6,#e6daa6,#e6daa6
xkcd:berry,#990f4b,#990f4b,#990f4b
xkcd:bile,#b5c306,#b5c306,#b5c306
xkcd:black,#000000,#000000,#000000
xkcd:bland,#afa88b,#afa88b,#afa88b
xkcd:blood,#770001,#770001,#770001
xkcd:blood orange,#fe4b03,#fe4b03,#fe4b03
xkcd:blood red,#980002,#980002,#980002
xkcd:blue,#0343df,#0343df,#0343df
xkcd:blue blue,#2242c7,#2242c7,#2242c7
xkcd:blue gray,#607c8e,#607c8e,#607c8e
xkcd:blue green,#137e6d,#137e6d,#137e6d
xkcd:blue grey,#607c8e,#607c8e,#607c8e
xkcd:blue purple,#5729ce,#5729ce,#5729ce
xkcd:blue violet,#5d06e9,#5d06e9,#5d06e9
xkcd:blue with a hint of purple,#533cc6,#533cc6,#533cc6
xkcd:blue/gray,#758da3,#758da3,#758da3
xkcd:blue/green,#0f9b8e,#0f9b8e,#0f9b8e
xkcd:blue/grey,#758da3,#758da3,#758da3
xkcd:blue/purple,#5a06ef,#5a06ef,#5a06ef
xkcd:blueberry,#464196,#464196,#464196
xkcd:bluegray,#85a3b2,#85a3b2,#85a3b2
xkcd:bluegreen,#017a79,#017a79,#017a79
xkcd:bluegrey,#85a3b2,#85a3b2,#85a3b2
xkcd:bluey gray,#89a0b0,#89a0b0,#89a0b0
xkcd:bluey green,#2bb179,#2bb179,#2bb179
xkcd:bluey grey,#89a0b0,#89a0b0,#89a0b0
xkcd:bluey purple,#6241c7,#6241c7,#6241c7
xkcd:bluish,#2976bb,#2976bb,#2976bb
xkcd:bluish gray,#748b97,#748b97,#748b97
xkcd:bluish green,#10a674,#10a674,#10a674
xkcd:bluish grey,#748b97,#748b97,#748b97
xkcd:bluish purple,#703be7,#703be7,#703be7
xkcd:blurple,#5539cc,#5539cc,#5539cc
xkcd:blush,#f29e8e,#f29e8e,#f29e8e
xkcd:blush pink,#fe828c,#fe828c,#fe828c
xkcd:booger,#9bb53c,#9bb53c,#9bb53c
xkcd:booger green,#96b403,#96b403,#96b403
xkcd:bordeaux,#7b002c,#7b002c,#7b002c
xkcd:boring green,#63b365,#63b365,#63b365
xkcd:bottle green,#044a05,#044a05,#044a05
xkcd:brick,#a03623,#a03623,#a03623
xkcd:brick orange,#c14a09,#c14a09,#c14a09
xkcd:brick red,#8f1402,#8f1402,#8f1402
xkcd:bright aqua,#0bf9ea,#0bf9ea,#0bf9ea
xkcd:bright blue,#0165fc,#0165fc,#0165fc
xkcd:bright cyan,#41fdfe,#41fdfe,#41fdfe
xkcd:bright green,#01ff07,#01ff07,#01ff07
xkcd:bright lavender,#c760ff,#c760ff,#c760ff
xkcd:bright light blue,#26f7fd,#26f7fd,#26f7fd
xkcd:bright light green,#2dfe54,#2dfe54,#2dfe54
xkcd:bright lilac,#c95efb,#c95efb,#c95efb
xkcd:bright lime,#87fd05,#87fd05,#87fd05
xkcd:bright lime green,#65fe08,#65fe08,#65fe08
xkcd:bright magenta,#ff08e8,#ff08e8,#ff08e8
xkcd:bright olive,#9cbb04,#9cbb04,#9cbb04
xkcd:bright orange,#ff5b00,#ff5b00,#ff5b00
xkcd:bright pink,#fe01b1,#fe01b1,#fe01b1
xkcd:bright purple,#be03fd,#be03fd,#be03fd
xkcd:bright red,#ff000d,#ff000d,#ff000d
xkcd:bright sea green,#05ffa6,#05ffa6,#05ffa6
xkcd:bright sky blue,#02ccfe,#02ccfe,#02ccfe
xkcd:bright teal,#01f9c6,#01f9c6,#01f9c6
xkcd:bright turquoise,#0ffef9,#0ffef9,#0ffef9
xkcd:bright violet,#ad0afd,#ad0afd,#ad0afd
xkcd:bright yellow,#fffd01,#fffd01,#fffd01
xkcd:bright yellow green,#9dff00,#9dff00,#9dff00
xkcd:british racing green,#05480d,#05480d,#05480d
xkcd:bronze,#a87900,#a87900,#a87900
xkcd:brown,#653700,#653700,#653700
xkcd:brown gray,#8d8468,#8d8468,#8d8468
xkcd:brown green,#706c11,#706c11,#706c11
xkcd:brown grey,#8d8468,#8d8468,#8d8468
xkcd:brown orange,#b96902,#b96902,#b96902
xkcd:brown red,#922b05,#922b05,#922b05
xkcd:brown yellow,#b29705,#b29705,#b29705
xkcd:brownish,#9c6d57,#9c6d57,#9c6d57
xkcd:brownish gray,#86775f,#86775f,#86775f
xkcd:brownish green,#6a6e09,#6a6e09,#6a6e09
xkcd:brownish grey,#86775f,#86775f,#86775f
xkcd:brownish orange,#cb7723,#cb7723,#cb7723
xkcd:brownish pink,#c27e79,#c27e79,#c27e79
xkcd:brownish purple,#76424e,#76424e,#76424e
xkcd:brownish red,#9e3623,#9e3623,#9e3623
xkcd:brownish yellow,#c9b003,#c9b003,#c9b003
xkcd:browny green,#6f6c0a,#6f6c0a,#6f6c0a
xkcd:browny orange,#ca6b02,#ca6b02,#ca6b02
xkcd:bruise,#7e4071,#7e4071,#7e4071
xkcd:bubble gum pink,#ff69af,#ff69af,#ff69af
xkcd:bubblegum,#ff6cb5,#ff6cb5,#ff6cb5
xkcd:bubblegum pink,#fe83cc,#fe83cc,#fe83cc
xkcd:buff,#fef69e,#fef69e,#fef69e
xkcd:burgundy,#610023,#610023,#610023
xkcd:burnt orange,#c04e01,#c04e01,#c04e01
xkcd:burnt red,#9f2305,#9f2305,#9f2305
xkcd:burnt siena,#b75203,#b75203,#b75203
xkcd:burnt sienna,#b04e0f,#b04e0f,#b04e0f
xkcd:burnt umber,#a0450e,#a0450e,#a0450e
xkcd:burnt yellow,#d5ab09,#d5ab09,#d5ab09
xkcd:burple,#6832e3,#6832e3,#6832e3
xkcd:butter,#ffff81,#ffff81,#ffff81
xkcd:butter yellow,#fffd74,#fffd74,#fffd74
xkcd:butterscotch,#fdb147,#fdb147,#fdb147
xkcd:cadet blue,#4e7496,#4e7496,#4e7496
xkcd:camel,#c69f59,#c69f59,#c69f59
xkcd:camo,#7f8f4e,#7f8f4e,#7f8f4e
xkcd:camo green,#526525,#526525,#526525
xkcd:camouflage green,#4b6113,#4b6113,#4b6113
xkcd:canary,#fdff63,#fdff63,#fdff63
xkcd:canary yellow,#fffe40,#fffe40,#fffe40
xkcd:candy pink,#ff63e9,#ff63e9,#ff63e9
xkcd:caramel,#af6f09,#af6f09,#af6f09
xkcd:carmine,#9d0216,#9d0216,#9d0216
xkcd:carnation,#fd798f,#fd798f,#fd798f
xkcd:carnation pink,#ff7fa7,#ff7fa7,#ff7fa7
xkcd:carolina blue,#8ab8fe,#8ab8fe,#8ab8fe
xkcd:celadon,#befdb7,#befdb7,#befdb7
xkcd:celery,#c1fd95,#c1fd95,#c1fd95
xkcd:cement,#a5a391,#a5a391,#a5a391
xkcd:cerise,#de0c62,#de0c62,#de0c62
xkcd:cerulean,#0485d1,#0485d1,#0485d1
xkcd:cerulean blue,#056eee,#056eee,#056eee
xkcd:charcoal,#343837,#343837,#343837
xkcd:charcoal gray,#3c4142,#3c4142,#3c4142
xkcd:charcoal grey,#3c4142,#3c4142,#3c4142
xkcd:chartreuse,#c1f80a,#c1f80a,#c1f80a
xkcd:cherry,#cf0234,#cf0234,#cf0234
xkcd:cherry red,#f7022a,#f7022a,#f7022a
xkcd:chestnut,#742802,#742802,#742802
xkcd:chocolate,#3d1c02,#3d1c02,#3d1c02
xkcd:chocolate brown,#411900,#411900,#411900
xkcd:cinnamon,#ac4f06,#ac4f06,#ac4f06
xkcd:claret,#680018,#680018,#680018
xkcd:clay,#b66a50,#b66a50,#b66a50
xkcd:clay brown,#b2713d,#b2713d,#b2713d
xkcd:clear blue,#247afd,#247afd,#247afd
xkcd:cloudy blue,#acc2d9,#acc2d9,#acc2d9
xkcd:cobalt,#1e488f,#1e488f,#1e488f
xkcd:cobalt blue,#030aa7,#030aa7,#030aa7
xkcd:cocoa,#875f42,#875f42,#875f42
xkcd:coffee,#a6814c,#a6814c,#a6814c
xkcd:cool blue,#4984b8,#4984b8,#4984b8
xkcd:cool gray,#95a3a6,#95a3a6,#95a3a6
xkcd:cool green,#33b864,#33b864,#33b864
xkcd:cool grey,#95a3a6,#95a3a6,#95a3a6
xkcd:copper,#b66325,#b66325,#b66325
xkcd:coral,#fc5a50,#fc5a50,#fc5a50
xkcd:coral pink,#ff6163,#ff6163,#ff6163
xkcd:cornflower,#6a79f7,#6a79f7,#6a79f7
xkcd:cornflower blue,#5170d7,#5170d7,#5170d7
xkcd:cranberry,#9e003a,#9e003a,#9e003a
